                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3369,                 2.4962,                 1.6917,                0.00367,                      1,                 0.4776,                0.28585,                0.48268,                 2.7304,                 1.1195,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.2047,                 2.2175,                 1.5229,                0.00358,                0.97727,                0.66488,                0.45289,                0.63191,                 2.7189,                  1.211,             0.00017644,             0.00017644,             0.00017644
                      3,                 1.2543,                 1.9168,                 1.5857,                0.00367,                      1,                0.73878,                0.46541,                0.66693,                 2.6775,                 1.2468,             0.00026891,             0.00026891,             0.00026891
                      4,                 1.0078,                 1.6489,                 1.4086,                      1,                0.13444,                0.60268,                0.45527,                  0.557,                 2.5049,                 1.1391,             0.00035743,             0.00035743,             0.00035743
                      5,                 1.0712,                  1.636,                 1.4811,                0.80915,                   0.25,                0.61033,                 0.4599,                0.61138,                 2.4164,                 1.2086,             0.00044198,             0.00044198,             0.00044198
                      6,                0.83559,                 1.5179,                 1.2919,                0.78307,                0.22727,                 0.6708,                0.48273,                0.66951,                 2.4037,                  1.245,             0.00052258,             0.00052258,             0.00052258
                      7,                 1.0078,                 1.5669,                 1.4107,                0.64042,                0.22727,                0.42606,                0.27428,                 1.3718,                  2.803,                 1.7236,             0.00059922,             0.00059922,             0.00059922
                      8,                0.90677,                 1.4621,                 1.3458,                0.67418,                0.18848,                0.33697,                0.17453,                 1.9031,                 3.0527,                 2.0242,             0.00067189,             0.00067189,             0.00067189
                      9,                 1.0238,                 1.5944,                 1.4104,                0.46827,                0.15909,                 0.2476,                0.15628,                 2.1742,                 3.0081,                 2.2609,             0.00074061,             0.00074061,             0.00074061
                     10,                  1.016,                 1.6838,                 1.4172,                0.55268,                0.27273,                0.30967,                0.13612,                 2.1891,                 2.8995,                  2.431,             0.00080536,             0.00080536,             0.00080536
                     11,                 1.1107,                 1.5402,                 1.5157,                0.27884,                0.34091,                0.19346,                0.08048,                 2.2416,                 2.8433,                 2.3261,             0.00086616,             0.00086616,             0.00086616
                     12,                 1.0248,                 1.4395,                 1.4759,                 0.4134,                0.45455,                0.31486,                0.14232,                 1.7199,                 2.3012,                 2.0387,               0.000923,               0.000923,               0.000923
                     13,                 1.1166,                 1.6624,                 1.4974,                0.71723,                0.56818,                0.64631,                 0.4199,                 1.2686,                 1.9125,                 1.7632,             0.00097587,             0.00097587,             0.00097587
                     14,                 1.0522,                 1.5152,                 1.3873,                0.71723,                0.56818,                0.64631,                 0.4199,                 1.2686,                 1.9125,                 1.7632,              0.0010248,              0.0010248,              0.0010248
                     15,                 1.0431,                 1.5003,                 1.4594,                0.42458,                    0.5,                0.37674,                0.21343,                 1.5568,                 2.5857,                 2.0716,              0.0010697,              0.0010697,              0.0010697
